AdjustSTS	cpu_adjust_sts
DCB_ClearDMAReadData	dcb_clear_dma_read_data
DCB_GetBufferAddress	dcb_get_buffer_address
DCB_GetByteCount	dcb_get_byte_count
DCB_GetDMAAddress	dcb_get_dma_address
DCB_GetDMABytesRead	dcb_get_dma_bytes_read
DCB_GetDMABytesWritten	dcb_get_dma_bytes_written
DCB_GetDMAReadData	dcb_get_dma_read_data
DCB_GetDataFlowCost	dcb_get_data_flow_cost
DCB_GetDataMemoryAddress	dcb_get_data_memory_address
DCB_GetDisplacement	dcb_get_displacement
DCB_GetKey	dcb_get_key
DCB_GetKeyValue	dcb_get_key_value
DCB_GetListPointer	dcb_get_list_pointer
DCB_GetOffsetFromLP	dcb_get_offset_from_lp
DCB_HasREOMFlag	dcb_has_reom_flag
DCB_HasRSOMFlag	dcb_has_rsom_flag
DCB_Init	dcb_init
DCB_IsDMAReadDataValid	dcb_is_dma_read_data_valid
DCB_SetBufferAddress	dcb_set_buffer_address
DCB_SetByteCount	dcb_set_byte_count
DCB_SetDMAAddress	dcb_set_dma_address
DCB_SetDMABytesRead	dcb_set_dma_bytes_read
DCB_SetDMABytesWritten	dcb_set_dma_bytes_written
DCB_SetDMAReadData	dcb_set_dma_read_data
DCB_SetDataMemoryAddress	dcb_set_data_memory_address
DCB_SetDisplacement	dcb_set_displacement
DCB_SetKeyValue	dcb_set_key_value
DCB_SetListPointer	dcb_set_list_pointer
DCB_SetOffsetFromLP	dcb_set_offset_from_lp
DMAControlBlocks_Clear	dmacb_clear
DMAControlBlocks_DebugTXFrames	dmacb_debug_tx_frames
DMAControlBlocks_Destroy	dmacb_destroy
DMAControlBlocks_Init	dmacb_init
DMAControlBlocks_IsNextRXbufValid	dmacb_is_next_r_xbuf_valid
DMAControlBlocks_LoadBufferDescription	dmacb_load_buffer_description
DMAControlBlocks_LoadNextRXBuffer	dmacb_load_next_rx_buffer
DMAControlBlocks_LoadNextTXBuffer	dmacb_load_next_tx_buffer
DMAControlBlocks_LoadRXBuffer	dmacb_load_rx_buffer
DMAControlBlocks_LoadTXBuffer	dmacb_load_tx_buffer
DMAControlBlocks_MarkBufferReceived	dmacb_mark_buffer_received
DMAControlBlocks_MarkBufferSent	dmacb_mark_buffer_sent
DMAControlBlocks_ReadNextByteDMA	dmacb_read_next_byte_dma
DMAControlBlocks_SetRXPointer	dmacb_set_rx_pointer
DMAControlBlocks_SetReadDMACallback	dmacb_set_read_dma_callback
DMAControlBlocks_SetTXPointer	dmacb_set_tx_pointer
DMAControlBlocks_SetWriteDMACallback	dmacb_set_write_dma_callback
DMAControlBlocks_WriteNextByteDMA	dmacb_write_next_byte_dma
DMAEngine_CommandDeviceClear	dma_engine_command_device_clear
DMAEngine_CommandDumpDataModule	dma_engine_command_dump_data_module
DMAEngine_CommandDumpRegisters	dma_engine_command_dump_registers
DMAEngine_CommandInitialize	dma_engine_command_initialize
DMAEngine_CommandLoadRegisters	dma_engine_command_load_registers
DMAEngine_CommandReceiverContinue	dma_engine_command_receiver_continue
DMAEngine_CommandReceiverStart	dma_engine_command_receiver_start
DMAEngine_CommandTransmitterStart	dma_engine_command_transmitter_start
DMAEngine_Destroy	dma_engine_destroy
DMAEngine_ExecuteCommand	dma_engine_execute_command
DMAEngine_GetBufferKeyVault	dma_engine_get_buffer_key_vault
DMAEngine_Init	dma_engine_init
DMAEngine_OnReadDMA	dma_engine_on_read_dma
DMAEngine_OnWriteDMA	dma_engine_on_write_dma
DMAEngine_ScanNextTXBuffer	dma_engine_scan_next_tx_buffer
DMAEngine_SetClearCommandCallback	dma_engine_set_clear_command_callback
DMAEngine_SetDMAAddress	dma_engine_set_dma_address
DMAEngine_SetInterruptCallback	dma_engine_set_interrupt_callback
DMAEngine_SetReadDMACallback	dma_engine_set_read_dma_callback
DMAEngine_SetSendFrameCallback	dma_engine_set_send_frame_callback
DMAEngine_SetUpdateReceiverStatusCallback	dma_engine_set_update_receiver_status_callback
DMAEngine_SetWriteDMACallback	dma_engine_set_write_dma_callback
DMAEngine_Tick	dma_engine_tick
DMAReceiver_Clear	dma_rx_clear
DMAReceiver_Destroy	dma_rx_destroy
DMAReceiver_Init	dma_rx_init
DMAReceiver_ReceiveDataFromModem	dma_rx_receive_data_from_modem
DMAReceiver_SetInterruptCallback	dma_rx_set_interrupt_callback
DMAReceiver_SetReceiverState	dma_rx_set_receiver_state
DMAReceiver_Tick	dma_rx_tick
DMATransmitter_Clear	dma_tx_clear
DMATransmitter_Destroy	dma_tx_destroy
DMATransmitter_Init	dma_tx_init
DMATransmitter_SetInterruptCallback	dma_tx_set_interrupt_callback
DMATransmitter_SetSendFrameCallback	dma_tx_set_send_frame_callback
DMATransmitter_SetSenderState	dma_tx_set_sender_state
DMATransmitter_Tick	dma_tx_tick
DestroyPagingTables	mms_destroy_paging_tables
DeviceManager_AddAllDevices	devmgr_add_all_devices
DeviceManager_AddDevice	devmgr_add_device
DeviceManager_AddHDLCDevice_WithConfig	devmgr_add_hdlc_device_with_config
DeviceManager_AddSCSIDevice_WithConfig	devmgr_add_scsi_device_with_config
DeviceManager_BootFrom	devmgr_boot_from
DeviceManager_Destroy	devmgr_destroy
DeviceManager_GetDeviceByAddress	devmgr_get_device_by_address
DeviceManager_GetDeviceByIndex	devmgr_get_device_by_index
DeviceManager_GetDeviceCount	devmgr_get_device_count
DeviceManager_Ident	devmgr_ident
DeviceManager_Init	devmgr_init
DeviceManager_IotOp	devmgr_iot_op
DeviceManager_MasterClear	devmgr_master_clear
DeviceManager_Read	devmgr_read
DeviceManager_Tick	devmgr_tick
DeviceManager_Write	devmgr_write
Device_Boot	dev_boot
Device_DMARead	dev_dma_read
Device_DMAWrite	dev_dma_write
Device_Destroy	dev_destroy
Device_GenerateInterrupt	dev_generate_interrupt
Device_GetOddParity	dev_get_odd_parity
Device_IO_BufferReadWord	dev_io_buffer_read_word
Device_IO_BufferWriteWord	dev_io_buffer_write_word
Device_IO_ReadWord	dev_io_read_word
Device_IO_Seek	dev_io_seek
Device_IO_WriteWord	dev_io_write_word
Device_Ident	dev_ident
Device_Init	dev_init
Device_InputCharacter	dev_input_character
Device_IsInAddress	dev_is_in_address
Device_OutputCharacter	dev_output_character
Device_QueueIODelay	dev_queue_io_delay
Device_Read	dev_read
Device_ReadBlock	dev_read_block
Device_RegisterAddress	dev_register_address
Device_Reset	dev_reset
Device_SetBlockDiskInfo	dev_set_block_disk_info
Device_SetBlockRead	dev_set_block_read
Device_SetBlockWrite	dev_set_block_write
Device_SetCharacterInput	dev_set_character_input
Device_SetCharacterOutput	dev_set_character_output
Device_SetInterruptStatus	dev_set_interrupt_status
Device_Tick	dev_tick
Device_TickIODelay	dev_tick_io_delay
Device_Write	dev_write
Device_WriteBlock	dev_write_block
DiskSCSI_LastLBA	scsi_disk_last_lba
DiskSCSI_SetDiskType	scsi_disk_set_type
DiskSMD_SetDiskType	smd_disk_set_type
DiskWinchester_ChsToLba	wd_disk_chs_to_lba
DiskWinchester_SetDiskType	wd_disk_set_type
